id,name,country,price,type
1,A DOOLAN,AUS,5,LHB
2,A FINCH,AUS,5,RHB
3,B HODGE,AUS,5,RHB
4,C ROGERS,AUS,5,LHB
5,D WARNER,AUS,10,RHB
6,G BAILEY,AUS,10,RHB
7,M CLARKE,AUS,15,RHB
8,M HUSSEY,AUS,15,LHB
9,S MARSH,AUS,10,LHB
10,S SMITH,AUS,15,RHB
11,T IQBAL,BAN,10,LHB
12,A COOK,ENG,10,LHB
13,E MORGAN,ENG,10,LHB
15,I BELL,ENG,10,RHB
16,M CARBERRY,ENG,5,RHB
17,J ROOT,ENG,5,RHB
18,A RAHANE,IND,10,RHB
19,C PUJARA,IND,10,RHB
20,G GAMBHIR,IND,15,LHB
21,M BISLA,IND,5,RHB
22,M TIWARY,IND,5,LHB
23,M VIJAY,IND,5,RHB
24,R UTHAPPA,IND,5,RHB
25,S DHAWAN,IND,10,LHB
26,V KOHLI,IND,20,RHB
27,V SEHWAG,IND,20,RHB
28,H RUTHERFORD,NZ,5,RHB
29,K WILLIAMSON,NZ,5,RHB
30,M GUPTILL,NZ,10,RHB
31,R TAYLOR,NZ,10,RHB
32,T FULTON,NZ,5,RHB
33,A ALI,PAK,5,RHB
34,A SHEHZAD,PAK,5,RHB
35,S AHMED,PAK,5,RHB
36,S MAQSOOD,PAK,5,RHB
37,Y KHAN,PAK,20,RHB
38,A. PETERSON,RSA,5,LHB
39,D ELGAR,RSA,5,LHB
40,D MILLER,RSA,10,LHB
41,F DU PLESSIS,RSA,10,RHB
42,G.SMITH,RSA,15,LHB
43,H AMLA,RSA,15,RHB
44,J RUDOLPH,RSA,5,LHB
45,Q DE KOCK,RSA,10,LHB
46,D KARUNARATNE,SL,5,RHB
47,T DILSHAN,SL,15,RHB
48,T SAMARAWEERA,SL,5,RHB
49,U THARANGA,SL,10,LHB
50,C GAYLE,WI,15,LHB
51,K POWELL,WI,5,RHB
52,M SAMUELS,WI,5,RHB
