id,name,country,price,type
1,M JOHNSON,AUS,15,F
2,R HARRIS,AUS,5,MF
3,J PATTINSON,AUS,5,F
4,N LYON,AUS,5,S
5,P SIDDLE,AUS,10,F
6,J BIRD,AUS,5,
7,B HOGG,AUS,5,S
8,M C KAY,AUS,5,MF
9,M STARC,AUS,10,F
10,A RAZZAK,BAN,5,S
11,J ANDERSON,ENG,10,M
12,J TREDWELL,ENG,5,MF
13,S BORTHWICK,ENG,5,
14,S FINN,ENG,10,F
15,M PANASAR,ENG,5,S
16,B KUMAR,IND,10,MF
17,I SHARMA,IND,10,F
18,P OJHA,IND,5,S
19,V AARON,IND,10,F
20,L BALAJI,IND,5,MF
21,A DINDA,IND,10,MF
22,Z KHAN,IND,10,MF
23,H SINGH,IND,5,S
24,U YADAV,IND,5,F
25,A NEHRA,IND,10,F
26,M SHAMI,IND,10,F
27,J UNADKAT,IND,5,MF
28,M KARTIK,IND,5,S
29,T SOUTHEE,NZ,5,MF
30,N WAGNER,NZ,5,
31,T BOULT,NZ,5,F
32,I BUTLER,NZ,5,MF
33,G ELLIOT,NZ,5,
34,M GILLESPIE,NZ,5,
35,U  GUL,PAK,10,F
36,Z BABAR,PAK,5,
37,S AJMAL,PAK,10,S
38,S TANVIR,PAK,10,F
39,A AKMAL,PAK,5,
40,R PETERSON,RSA,5,S
41,V PHILANDER,RSA,5,MF
42,D STEYN,RSA,20,F
43,M MORKEL,RSA,15,F
44,K ABBOTT,RSA,5,
45,C MORRIS,RSA,10,F
46,W PARNELL,RSA,5,F
47,A PHANGISO,RSA,5,
48,I TAHIR,RSA,10,S
49,N KULASEKARA,SL,10,MF
50,S ERANGA,SL,5,
51,A MENDIS,SL,10,S
52,L MALINGA,SL,15,F
53,K ROACH,WI,5,F
54,S SHILLINGFORD,WI,5,S
55,T BEST,WI,10,F
56,S BADREE,WI,5,S
57,F EDWARDS,WI,10,F
58,J HOLDER,WI,10,F
59,S NARINE,WI,10,S
