id,name,country,price,battype,bowltype
1,S WATSON,AUS,15,RHB,MF
2,D CHRISTIAN,AUS,5,RHB,MF
3,J FAULKNAR,AUS,10,RHB,MF
4,M HENRIQUES,AUS,5,RHB,MF
5,G MAXWELL,AUS,10,RHB,S
6,C WHITE,AUS,10,RHB,S
7,A HAQUE,BAN,5,RHB,MF
8,S AL HASAN,BAN,15,LHB,S
9,M MORTAZA,BAN,10,RHB,MF
10,B STOKES,ENG,5,LHB,MF
11,R BOPARA,ENG,10,RHB,MF
12,T BRESNAN,ENG,5,RHB,MF
13,S BROAD,ENG,10,LHB,MF
14,K PIETERSEN,ENG,20,RHB,S
15,C WOAKES,ENG,5,RHB,MF
16,L WRIGHT,ENG,5,LHB,MF
17,R SHARMA,IND,15,RHB,S
18,R ASHWIN,IND,10,RHB,S
19,P CHAWLA,IND,5,LHB,S
20,R JADEJA,IND,10,LHB,S
21,Y PATHAN,IND,5,RHB,S
22,I PATHAN,IND,5,LHB,MF
23,S RAINA,IND,15,LHB,S
24,Y SINGH,IND,20,LHB,S
25,L R SUKLA,IND,5,RHB,MF
26,S K YADAV,IND,5,RHB,MF
27,S BINNY,IND,10,RHB,MF
28,R BHATIA,IND,5,RHB,M
29,C ANDERSON,NZ,10,LHB,MF
30,D VETTORI,NZ,10,LHB,S
31,J FRANKLIN,NZ,5,RHB,MF
32,N MCCULLUM,NZ,5,RHB,MF
33,A HAFEEZ,PAK,10,RHB,S
34,S AFRIDI,PAK,10,RHB,S
35,T AHEMED,PAK,5,RHB,MF
36,U AMIN,PAK,5,RHB,MF
37,A MORKEL,RSA,10,LHB,MF
38,F BEHARDIEN,RSA,5,RHB,MF
39,J P DUMINY,RSA,10,LHB,S
40,R MCLAREL,RSA,5,RHB,MF
41,J ONTONG,RSA,5,RHB,M
42,A MATTHEWS,SL,10,RHB,M
43,A DANANJAYA,SL,5,RHB,MF
44,A PERERA,SL,5,RHB,MF
45,D PRASAD,SL,5,RHB,MF
46,D BRAVO,WI,15,RHB,MF
47,D SAMMY,WI,10,RHB,MF
48,K POLLARD,WI,15,RHB,MF
49,C BOUGH,WI,5,RHB,MF
50,A RUSSEL,WI,15,RHB,MF
51,L SIMMONS,WI,10,RHB,MF
52,D SMITH,WI,10,RHB,MF
